Rad Ene.,Total emissions 1/sec,T1/2 (num),Rad Int.
28.78,0.0007273643765964818,2760.0,1.1
29.111,30.657916218026084,23.1,0.027
29.1851,0.016053505126305833,5024000000000.0,0.0078
29.19,0.0055569825437212506,5024000000000.0,0.0027
29.37,4.037732200400869e-08,177480.0,0.0076
29.374,746073.3918967221,67660000000000.0,14.5
29.3911,0.0016465133462877776,5024000000000.0,0.0008
29.461,6394.663155211141,46.6,3.16
29.49,1.044127439171235e-05,2082240.0,0.0012
29.6,2.4615692880148936,2508.0,0.015
29.679,226.39050052993863,0.000355,3.0
29.715,3.111136313726587e-05,8402.4,0.0046
29.726,433.4792233085076,0.000355,5.7
29.78,7.428171202721262e-05,1320.0,0.054
29.782,11764.620331746812,46.6,5.8
29.8,0.6015048430227496,1.9,1.01
29.85,10.496694024287965,14.5,0.1
29.86,0.007096378723194399,1613952.0,0.076
29.9,0.00014923904476260878,231600000000.0,0.00205
29.966,2199.5578684379207,1101686.4,14.1
29.97,0.041653898656281524,1033800000000.0,0.097
30.0,0.018138218703951985,6220.8,0.017
30.04,13849791.656635795,760900000000.0,0.000217
30.393,121.96621766004866,0.000355,1.6
30.427,1.637269880566439e-08,0.000122,1.13
30.625,5032.015984156949,333000000.0,33.9
30.77,3.772838136271792e-07,508710000.0,0.000591
30.8,0.1703114122107317,25.9,0.0338
30.944,473.19797281232366,2370.0,0.52
30.973,9237.94888893256,333000000.0,62.2
30.995,907.4145436569208,2370.0,1.01
31.1,0.0010896201442902338,231600000000.0,0.84
31.32,1.4105571171594365e-17,29304.000000000004,3.1e-05
31.378,1.2025964609470306e-08,0.000122,0.83
31.43,5.2805484555705695e-12,459648.0,0.022
31.444,0.004474781126332153,150000000.0,0.0071
31.5,0.9466947775916036,1.4e-06,0.687
31.52,0.1558617456289346,225.0,0.006
31.57,8.820734501397131e-05,231600000000.0,0.068
31.58,0.006349391489173937,1613952.0,0.068
31.6,27.160761591275246,2.221e+16,0.017
31.67,3.2089358325012123,746.4,0.45
31.69,2.0633808896447954e-06,1320.0,0.0015
31.704,261.9999068036517,2370.0,0.292
31.78,0.0037029459172184523,2760.0,5.6
31.8,26.638756282090597,34.4,0.44
31.817,1578.9789142266472,3.25e+18,10.7
31.98,1.0359694922932897e-05,988122.24,0.000108
32.1,91.37506635713808,3544.2,4.0
32.1516,0.41286875585205746,6588.0,0.062
32.194,2878.4207029775953,3.25e+18,19.4
32.2,73.80919090230778,31.6,9.4
32.239,1537.7096524738606,530.4,0.877
32.295,2969.9093344862717,530.4,1.69
32.3,1.0837923410433803e-06,0.0001194,30.4
32.453,3.293026692575556e-05,5024000000000.0,1.6e-05
32.52,3.7046550291474996e-05,5024000000000.0,1.8e-05
32.61,5.356046773119548e-05,2760.0,0.081
32.73,0.0019963974323739305,5024000000000.0,0.00097
32.9,483.9210480317365,0.0106,50.0
33.01,54.16909149972801,7.1,0.26
33.034,1737.2422960609308,1096.2,2.73
33.04,1.336081843593977e-05,231600000000.0,0.0103
33.047,879.7984871820513,530.4,0.501
33.196,1305492703.8161557,13650000000.0,0.126
33.3,0.9422449902422269,31.6,0.12
33.39,0.0007469872340204632,1613952.0,0.008
33.442,3104.898356544914,1096.2,4.98
33.46,6.207288048753675,1.791,0.29
33.5,1.1460697125300248e-05,687100000.0,0.00012
33.562,1100.6928984960023,46.6,0.54
33.568,7.246614014034271,24620000.0,0.2
33.624,2129.488474373539,46.6,1.05
33.8,1.6376097327954975,25.9,0.325
34.279,339.1864652679305,1.05,6.5
34.419,645.5605678365148,46.6,0.319
34.6,11.970364051038912,0.0191,10.8
34.7,59.11459875748142,2.221e+16,0.037
34.72,616.3360439116506,1.05,11.9
34.92,873.6605780531669,333000000.0,5.88
34.987,1686.9413417010444,333000000.0,11.4
35.0,2.865174281325062e-06,687100000.0,3e-05
35.05,76.97759592690798,809.4,1.1
35.2,0.058202895996173176,102240.0,0.008
35.34,76.31867784917704,80.8,1.3
35.489,16.607136518572993,87050000.0,4.37
35.504,27.703329245905216,4959360.0,7.3
35.55,1698.513309120724,180.6,15.2
35.57,0.0003246301998410534,192456.0,0.421
35.58,0.0,0.069,0.0
35.7,9.079839398212952,0.91,0.57
35.802,0.008596124450685694,2760.0,13.0
35.818,520.9390220236477,333000000.0,3.51
35.83,0.006956630497234645,1033800000000.0,0.0162
35.853,142.4381316918564,315.0,14.8
36.026,3058.2027952099497,180.6,27.0
36.2,165.51587872243542,0.653,10.4
36.3,2335.0059323552946,60.0,14.0
36.304,275.4006015743261,3.25e+18,1.86
36.32,257.2666868609387,67660000000000.0,0.005
36.378,536.2472139426188,3.25e+18,3.59
36.7,0.019203354617259912,6220.8,0.018
36.74,1.7323556557117665,315.0,0.18
36.83,0.730290173184716,119700.0,0.0116
36.847,1292.363979637059,1172448.0,1.2e-09
37.0,0.006494676494435953,9.5e-07,3.9
37.138,3.94015506955371e-09,1656288.0000000002,0.12
37.15,0.9415986526006987,1385000000.0,1.85
37.255,168.10338976485846,3.25e+18,1.14
37.3,1.046531297811694e-11,0.0216,23.0
37.335,6.255728756736936,315.0,0.65
37.361,2328.7069520782907,1172448.0,2.1e-09
37.47,2.865174281325062e-07,687100000.0,3e-06
37.63,4.9783335876983115,25.9,0.988
37.72,303.3693738363927,1096.2,0.48
37.8,3.116647198765533e-05,1170.0,0.0045
37.801,593.8728593086875,1096.2,0.93
37.9,0.004679765558335726,687100000.0,0.0489998
38.0,25.077771097901614,2e-06,7.0
38.1,4.618780468461095,33840.0,1.5
38.171,904.6559978318322,25.9,8.44
38.2,0.062266137166606395,1033800000000.0,0.145
38.33,1.1991862286863486,13.6,0.02
38.34,10.792676058177138,13.6,0.18
38.5,1.2226088497610359e-05,864000.0,0.0094
38.54,1359017.068672517,583200.0,0.4
38.6,0.00017326418248960544,1170.0,0.029
38.66,3.825219979327139e-08,177480.0,0.0072
38.661,666321773.710957,760900000000.0,0.01044
38.725,1630.8035236924866,25.9,15.2
38.726,190.11635577984936,1096.2,0.299
38.77,0.04905723104163259,127227.6,0.0228
39.0,0.2618868940636025,504.0,5.1
39.17,59.89723285604429,1.05,1.16
39.258,115.72213903493775,1.05,2.2
39.4,0.004094673637149623,0.296,2.0
39.522,316.78540417301167,0.0106,2.1
39.578,0.00036328149134677356,767232.0000000001,7.5
39.748,4.9977400718898596e-12,1468022.4,0.0683
39.75,4.000119629625502e-08,5760.0,0.0134
39.755,0.3710524061033095,3366.84,0.068
39.76,0.3784652021437358,3390940.8,0.0692
39.8,2.9052553865801998,31.6,0.37
39.857,1.090422933490504e-06,3633.0,1.06
39.96,0.0008069006444800202,530.4,0.017
40.0,12.936394141373258,2e-06,3.6
40.09,0.03925471959528519,1287360.0,30.0
40.118,569.257323655029,0.0106,3.7
40.2,0.0014006010637883683,1613952.0,0.015
40.228,37.14143286490213,1.05,0.72
40.351,1184.87674435857,2330640.0,0.0228
40.58323,263.30086980372334,237326.4,1.04
40.653,300.05346400075814,180.6,2.7
40.748,579.3671826814322,180.6,5.2
40.902,186.1279797027367,2760.0,8.1
40.94,1.7277735639277817e-05,375.78,0.07311
40.98,9.311899008034038,24620000.0,0.257
41.0,0.07430808450750219,8.5,0.25
41.1,0.0010530673481907579,18.0,0.0147
41.182,8.548577252515037e-09,0.000122,0.59
41.4,47.930755749309256,2.221e+16,0.03
41.542,332.8358902994257,2760.0,14.6
41.56,6.337782343312013e-08,3.5e-06,9.4
41.66,685.9812730496985,2330640.0,0.0132
41.764,187.52348388306598,180.6,1.68
41.9,0.012851138846898931,167400.0,0.83
41.93,9318293.006618261,760900000000.0,0.000146
41.96,95.86151149861851,2.221e+16,0.06
42.078,1.0610883020604804e-14,116675.1,1.66
42.166,229.62428792004232,1172448.0,2.1e-10
42.272,445.72857859359937,1172448.0,4e-10
42.3,0.00010636768075214187,231600000000.0,0.082
42.309,104.36864359319154,271400000.0,7.35
42.431,0.00037046550291475,5024000000000.0,0.00018
42.4349,0.14818620116589998,5024000000000.0,0.072
42.46,3.540038182094258e-08,22140.0,0.009
42.63,0.028439581663980147,3390940.8,0.0052
42.6333,0.027167470213748334,5024000000000.0,0.0132
42.641,0.00024275977635554165,6880000000000.0,0.471
42.704,56966512.920465104,13650000000.0,0.0055
42.82,0.00021273536150428373,231600000000.0,0.164
42.85,6.409220077116801,678.0,0.025
42.86,95.87997761672433,91872.0,0.059
42.996,186.65092614517928,271400000.0,13.1
43.335,147.6694749906957,1172448.0,1.3e-10
43.42,756182530.6957481,13650000000.0,0.073
43.498,303375825.9937285,2768000000.0,0.0392
43.5,3.301409423431672e-06,1320.0,0.0024
43.515,4867.084776524556,7.1,21.0
